Date,Open,High,Low,Close,Volume
17-Jan-14,885000.00,896000.00,879000.00,890000.00,20099
16-Jan-14,868000.00,884000.00,867000.00,881000.00,10249
15-Jan-14,855000.00,875000.00,854000.00,871000.00,16877
14-Jan-14,858000.00,868000.00,851000.00,854000.00,16608
13-Jan-14,865000.00,870000.00,857000.00,858000.00,25412
10-Jan-14,868000.00,880000.00,857000.00,863000.00,28613
9-Jan-14,879000.00,881000.00,872000.00,873000.00,17557
8-Jan-14,885000.00,890000.00,871000.00,880000.00,19534
7-Jan-14,895000.00,899000.00,882000.00,885000.00,20149
6-Jan-14,900000.00,905000.00,888000.00,899000.00,11326
3-Jan-14,932000.00,937000.00,895000.00,895000.00,20015
2-Jan-14,949000.00,950000.00,931000.00,931000.00,13739
30-Dec-13,936000.00,949000.00,931000.00,949000.00,13195
27-Dec-13,938000.00,943000.00,923000.00,935000.00,13750
26-Dec-13,927000.00,928000.00,916000.00,928000.00,11855
24-Dec-13,917000.00,926000.00,912000.00,921000.00,10518
23-Dec-13,910000.00,916000.00,905000.00,916000.00,11947
20-Dec-13,915000.00,916000.00,905000.00,906000.00,6963
19-Dec-13,911000.00,915000.00,897000.00,915000.00,9799
18-Dec-13,907000.00,908000.00,892000.00,900000.00,13817
17-Dec-13,894000.00,909000.00,894000.00,906000.00,12504
16-Dec-13,893000.00,898000.00,881000.00,892000.00,6364
13-Dec-13,891000.00,897000.00,890000.00,893000.00,4405
12-Dec-13,889000.00,901000.00,887000.00,891000.00,6669
11-Dec-13,901000.00,906000.00,890000.00,892000.00,9112
10-Dec-13,910000.00,910000.00,897000.00,906000.00,8594
9-Dec-13,905000.00,909000.00,895000.00,909000.00,7187
6-Dec-13,887000.00,907000.00,887000.00,894000.00,9708
5-Dec-13,909000.00,909000.00,883000.00,890000.00,24303
4-Dec-13,885000.00,909000.00,883000.00,908000.00,17180
3-Dec-13,900000.00,905000.00,885000.00,894000.00,28056
2-Dec-13,903000.00,912000.00,902000.00,905000.00,16034
29-Nov-13,920000.00,921000.00,899000.00,902000.00,29589
28-Nov-13,923000.00,927000.00,917000.00,923000.00,15477
27-Nov-13,945000.00,945000.00,918000.00,919000.00,17244
26-Nov-13,930000.00,940000.00,926000.00,937000.00,13523
25-Nov-13,929000.00,944000.00,927000.00,933000.00,7331
22-Nov-13,937000.00,950000.00,926000.00,926000.00,15182
21-Nov-13,948000.00,950000.00,928000.00,928000.00,9438
20-Nov-13,953000.00,959000.00,935000.00,952000.00,14600
19-Nov-13,938000.00,965000.00,932000.00,959000.00,27399
18-Nov-13,926000.00,941000.00,915000.00,936000.00,24150
15-Nov-13,1001000.00,1006000.00,917000.00,922000.00,67000
14-Nov-13,1009000.00,1035000.00,998000.00,998000.00,8239
13-Nov-13,1019000.00,1037000.00,1018000.00,1018000.00,6269
12-Nov-13,998000.00,1032000.00,996000.00,1032000.00,6831
11-Nov-13,992000.00,1018000.00,989000.00,1003000.00,6825
8-Nov-13,1011000.00,1017000.00,984000.00,1001000.00,8975
7-Nov-13,1021000.00,1038000.00,1002000.00,1012000.00,8575
6-Nov-13,999000.00,1036000.00,990000.00,1034000.00,11996
5-Nov-13,1019000.00,1049000.00,1006000.00,1009000.00,7237
4-Nov-13,996000.00,1042000.00,983000.00,1031000.00,12583
1-Nov-13,1035000.00,1035000.00,996000.00,1009000.00,16318
31-Oct-13,1036000.00,1049000.00,1012000.00,1035000.00,18963
30-Oct-13,998000.00,1032000.00,990000.00,1032000.00,15077
29-Oct-13,982000.00,998000.00,964000.00,998000.00,9571
28-Oct-13,985000.00,992000.00,976000.00,983000.00,7796
25-Oct-13,977000.00,982000.00,968000.00,980000.00,8519
24-Oct-13,968000.00,979000.00,960000.00,977000.00,14354
23-Oct-13,957000.00,965000.00,947000.00,960000.00,17264
22-Oct-13,929000.00,958000.00,928000.00,955000.00,17671
21-Oct-13,900000.00,928000.00,891000.00,928000.00,16198
18-Oct-13,884000.00,914000.00,884000.00,898000.00,22570
17-Oct-13,902000.00,910000.00,867000.00,882000.00,17498
16-Oct-13,912000.00,919000.00,896000.00,901000.00,14000
15-Oct-13,914000.00,924000.00,910000.00,912000.00,8829
14-Oct-13,919000.00,925000.00,911000.00,912000.00,10494
11-Oct-13,942000.00,944000.00,918000.00,918000.00,20250
10-Oct-13,952000.00,952000.00,936000.00,937000.00,12813
8-Oct-13,942000.00,956000.00,929000.00,956000.00,7508
7-Oct-13,945000.00,954000.00,935000.00,942000.00,9039
4-Oct-13,966000.00,970000.00,950000.00,950000.00,10959
2-Oct-13,971000.00,971000.00,954000.00,970000.00,8944
1-Oct-13,946000.00,974000.00,946000.00,972000.00,9180
30-Sep-13,957000.00,973000.00,942000.00,953000.00,26303
27-Sep-13,957000.00,972000.00,957000.00,963000.00,13536
26-Sep-13,971000.00,972000.00,954000.00,956000.00,8574
25-Sep-13,960000.00,974000.00,959000.00,972000.00,12098
24-Sep-13,971000.00,984000.00,957000.00,964000.00,24981
23-Sep-13,924000.00,971000.00,916000.00,967000.00,49274
